oracle,arm,seed,rounds_to_top2pct,rounds_to_first_pass,pool_base_rate
rf,random,0,28.0,7.0,0.23
rf,ours,0,2.0,1.0,0.23
rf,baybe_scalar,0,20.0,2.0,0.23
rf,baybe_desir,0,3.0,1.0,0.23
rf,random,1,,4.0,0.23
rf,ours,1,1.0,1.0,0.23
rf,baybe_scalar,1,22.0,3.0,0.23
rf,baybe_desir,1,1.0,1.0,0.23
rf,random,2,38.0,4.0,0.235
rf,ours,2,2.0,1.0,0.235
rf,baybe_scalar,2,6.0,3.0,0.235
rf,baybe_desir,2,3.0,1.0,0.235
rf,random,3,7.0,1.0,0.2475
rf,ours,3,1.0,1.0,0.2475
rf,baybe_scalar,3,25.0,1.0,0.2475
rf,baybe_desir,3,1.0,1.0,0.2475
rf,random,4,31.0,14.0,0.2175
rf,ours,4,2.0,1.0,0.2175
rf,baybe_scalar,4,31.0,1.0,0.2175
rf,baybe_desir,4,2.0,1.0,0.2175
mlp,random,0,,,0.035
mlp,ours,0,1.0,1.0,0.035
mlp,baybe_scalar,0,7.0,1.0,0.035
mlp,baybe_desir,0,4.0,4.0,0.035
mlp,random,1,,,0.0125
mlp,ours,1,5.0,5.0,0.0125
mlp,baybe_scalar,1,13.0,13.0,0.0125
mlp,baybe_desir,1,15.0,15.0,0.0125
mlp,random,2,9.0,9.0,0.0275
mlp,ours,2,4.0,1.0,0.0275
mlp,baybe_scalar,2,17.0,17.0,0.0275
mlp,baybe_desir,2,5.0,5.0,0.0275
mlp,random,3,,39.0,0.03
mlp,ours,3,5.0,5.0,0.03
mlp,baybe_scalar,3,4.0,4.0,0.03
mlp,baybe_desir,3,7.0,4.0,0.03
mlp,random,4,,,0.0225
mlp,ours,4,2.0,2.0,0.0225
mlp,baybe_scalar,4,14.0,14.0,0.0225
mlp,baybe_desir,4,3.0,3.0,0.0225
