experiment_id,ingredient_resin,ingredient_crosslinker,ingredient_solvent,ingredient_legacy_plasticizer,ingredient_substitute_a,ingredient_substitute_b,mix_temperature_c,mix_time_min,supplier_family,status,failure_reason,adhesion,viscosity_cp,dry_time_min,gloss
C-001,47.496,17.549,22.66,11.685,0.024,0.586,51.95,35.01,A,completed,,8.176,1954.1,46.12,86.44
C-002,46.626,13.275,27.845,6.631,2.812,2.811,64.39,35.95,A,completed,,8.515,1716.0,34.87,89.95
C-003,46.317,11.232,25.151,10.616,3.078,3.606,69.57,33.95,B,completed,,7.028,1729.0,38.67,90.22
C-004,48.823,15.518,21.965,9.38,4.153,0.161,50.89,30.64,B,completed,,7.861,1971.3,42.74,87.86
C-005,34.958,12.965,31.133,15.631,3.147,2.166,69.67,40.88,B,failed,poor film formation,,,,
C-006,43.607,11.557,30.002,12.57,1.416,0.848,56.3,19.92,B,completed,,7.177,1317.0,40.7,87.8
C-007,43.336,14.685,29.371,8.55,3.747,0.311,58.51,31.39,C,completed,,7.984,1595.5,36.04,88.89
C-008,47.157,12.401,28.907,6.225,3.59,1.72,55.14,32.77,B,completed,,8.345,1708.0,38.26,90.06
C-009,46.405,16.007,28.776,5.069,1.993,1.75,59.59,19.95,A,completed,,8.776,1658.7,39.14,90.6
C-010,40.778,13.224,24.845,15.122,2.387,3.644,67.99,35.86,A,completed,,7.525,1791.4,38.66,85.93
C-011,43.654,14.8,26.622,7.094,4.336,3.494,65.14,27.49,A,completed,,8.651,1761.3,36.43,89.18
C-012,52.022,11.21,21.3,9.065,3.171,3.232,71.52,18.4,B,failed,processing instability,,,,
C-013,46.585,10.963,25.416,12.095,3.033,1.908,49.83,38.44,C,completed,,6.773,1774.5,41.19,87.78
C-014,50.134,13.937,26.47,5.812,0.76,2.887,52.63,35.08,B,completed,,8.157,1873.9,38.43,90.41
C-015,47.584,11.223,30.681,7.754,1.43,1.328,55.79,30.9,A,completed,,8.25,1483.8,36.72,91.94
C-016,59.949,16.136,18.295,5.144,0.186,0.29,71.22,35.65,A,failed,processing instability,,,,
C-017,38.44,17.584,28.893,10.4,0.85,3.833,51.89,25.24,A,failed,poor film formation,,,,
C-018,45.046,17.051,19.4,11.906,4.044,2.553,59.16,22.81,C,completed,,8.462,1981.6,40.7,87.82
C-019,41.253,16.413,29.296,9.239,3.527,0.272,65.73,41.79,A,completed,,8.826,1511.9,34.16,86.69
C-020,43.94,10.814,22.875,14.911,4.745,2.715,53.89,25.21,B,completed,,7.469,1955.5,40.2,89.25
C-021,41.54,17.565,24.545,13.373,0.714,2.263,65.01,25.67,A,completed,,8.131,1799.7,39.66,89.12
C-022,40.681,10.769,27.646,14.627,3.145,3.132,56.14,40.52,A,completed,,8.232,1590.0,39.04,88.87
C-023,47.474,16.528,19.23,15.637,0.786,0.345,51.66,22.52,B,completed,,7.382,2059.8,45.81,87.42
C-024,48.521,11.051,24.7,11.766,2.231,1.731,49.1,31.82,B,completed,,6.665,1866.6,45.09,88.3
C-025,43.015,14.53,29.224,8.455,2.233,2.543,63.06,28.44,A,completed,,8.526,1573.7,35.2,89.38
C-026,54.176,15.608,21.859,5.601,0.557,2.199,71.68,29.29,A,completed,,7.822,1941.5,41.85,87.97
C-027,55.823,10.887,22.94,8.582,1.054,0.714,58.69,22.78,A,completed,,8.375,1833.5,43.3,89.89
C-028,42.626,15.237,18.869,15.95,3.685,3.633,49.24,32.02,A,completed,,7.298,2053.2,42.63,86.92
C-029,53.11,16.326,18.466,7.604,2.518,1.976,57.61,20.93,C,completed,,8.789,2316.2,42.76,91.06
C-030,40.89,16.112,31.541,8.695,2.004,0.758,62.51,25.42,A,failed,poor film formation,,,,
C-031,54.579,11.471,18.031,6.692,3.47,5.757,59.33,28.96,C,completed,,8.818,2328.1,41.03,90.25
C-032,42.912,11.514,29.852,1.791,7.549,6.382,51.81,38.69,B,completed,,8.635,1987.6,37.12,92.96
C-033,54.031,10.453,21.059,2.94,5.977,5.54,63.44,21.59,A,completed,,9.418,2362.6,38.84,93.16
C-034,43.481,14.005,24.041,5.984,8.918,3.571,53.25,41.78,A,completed,,9.516,2079.9,37.23,91.74
C-035,47.878,15.666,28.145,3.121,3.401,1.789,63.13,32.98,B,completed,,8.68,1802.4,35.47,91.67
C-036,45.777,14.522,28.526,2.118,7.95,1.107,59.82,25.22,A,completed,,8.995,1690.1,34.47,93.06
C-037,48.528,10.803,30.134,1.801,4.494,4.24,53.65,26.95,A,completed,,8.818,1843.4,38.52,90.65
C-038,41.609,17.372,27.556,2.613,3.323,7.527,58.23,25.8,A,completed,,8.947,1787.7,36.45,91.9
C-039,48.901,12.041,26.057,2.13,8.087,2.784,65.06,39.47,B,completed,,9.325,1783.2,35.42,94.61
C-040,45.802,15.626,25.657,3.006,3.101,6.808,59.98,40.7,B,completed,,9.235,2025.4,36.95,92.32
C-041,56.478,11.558,22.431,4.851,2.874,1.808,48.52,41.4,C,completed,,7.672,2275.4,45.19,89.72
C-042,63.726,11.675,18.102,1.484,2.787,2.226,68.45,18.73,B,failed,processing instability,,,,
C-043,43.407,15.427,28.781,4.499,3.51,4.376,57.1,26.43,A,completed,,8.545,1727.7,39.05,89.74
C-044,53.883,14.998,19.544,3.9,2.261,5.414,52.17,29.55,B,completed,,8.863,2342.2,40.61,90.57
