experiment_code,ingredient_water,ingredient_oil_phase,ingredient_legacy_peg_emulsifier,ingredient_substitute_polyglyceryl,ingredient_substitute_glucoside,ingredient_glycerin,ingredient_thickener,emulsification_temp_c,homogenization_min,supplier_family,viscosity_cp,ph,stability_score,spreadability,status
LOT-0001,73.0291,16.0637,3.1345,0.1401,0.0,7.1664,0.4663,77.94,11.19,B,6703.0,5.25,8.26,9.22,completed
LOT-0002,75.2778,14.3962,2.0575,0.5454,0.0,7.3203,0.4028,69.39,3.4,A,5690.0,5.55,7.23,9.07,completed
LOT-0003,75.9998,13.114,2.1258,0.2905,0.0,7.0875,1.3824,76.37,5.99,A,10987.0,5.38,8.04,8.67,completed
LOT-0004,70.5785,20.7361,3.6823,0.4629,0.0,3.8899,0.6503,74.54,4.73,A,10089.0,5.13,6.55,7.63,completed
LOT-0005,69.053,16.5699,0.0,3.0916,2.6501,7.9648,0.6706,76.11,7.23,A,8587.0,5.43,10.0,9.65,completed
LOT-0006,72.3909,16.3603,2.6612,0.3718,0.0,7.0013,1.2145,70.67,11.29,A,11592.0,5.28,9.54,8.41,completed
LOT-0007,69.7613,16.3854,3.9873,0.4573,0.0,8.3049,1.1037,75.87,3.63,A,11048.0,5.34,10.0,10.0,completed
LOT-0008,71.9964,18.0461,1.4656,1.5183,0.8391,5.6276,0.5069,75.48,4.54,B,8305.0,5.06,10.0,8.66,completed
LOT-0009,75.2841,12.8357,2.6196,0.4698,0.0,7.972,0.8187,70.81,7.38,B,7285.0,5.42,10.0,9.69,completed
LOT-0010,75.2708,16.6733,2.7286,0.3117,0.0,3.5993,1.4164,65.4,7.72,B,13652.0,5.28,8.94,6.4,completed
LOT-0011,76.8267,14.3301,3.9664,0.3537,0.0,3.6887,0.8345,79.44,9.71,C,9216.0,5.41,10.0,8.56,completed
LOT-0012,76.558,15.2119,2.7477,0.5813,0.0,3.6334,1.2677,75.7,6.94,A,10912.0,5.21,10.0,8.11,completed
LOT-0013,68.9711,20.9242,1.1359,2.7689,1.2487,4.5203,0.4309,68.07,4.27,A,9195.0,5.36,7.56,8.39,completed
LOT-0014,72.4159,18.563,2.8155,0.46,0.0,4.5626,1.183,75.96,6.18,A,11676.0,5.29,8.61,7.23,completed
LOT-0015,75.2884,17.0654,1.7546,0.2587,0.0,4.3561,1.2768,69.18,11.84,A,,,,,failed
LOT-0016,71.1673,16.7855,1.8564,2.0205,0.8675,6.05,1.2528,72.04,9.76,B,14565.0,5.36,10.0,6.41,completed
LOT-0017,72.0119,18.486,0.0,3.2396,2.1368,3.1114,1.0144,77.9,4.05,A,,,,,failed
LOT-0018,74.3856,15.3466,3.0779,0.2625,0.0,6.1911,0.7362,71.72,10.27,A,8602.0,5.32,8.93,9.23,completed
LOT-0019,75.0795,18.0736,2.117,0.1898,0.0,4.1396,0.4006,69.32,5.8,B,7676.0,5.21,7.53,8.13,completed
LOT-0020,73.0727,17.2815,2.2083,0.2557,0.0,6.3206,0.8613,69.58,10.03,A,10343.0,5.36,9.1,8.51,completed
